caller_method,name_method
remaining,clone
allocate,clone
remaining,clone
mark,clone
put,clone
duplicate,clone
reset,clone
None,allocate
None,cloningBTreeRowBuilder
copy,newRow
copy,addCell
None,holder
None,canHaveShadowedData
holder,deletionInfo
holder,staticRow
holder,isEmpty
isLive,isEmpty
isEmpty,isEmpty
isEmpty,isEmpty
holder,hasRows
isEmpty,hasRows
None,metadata
None,partitionKey
holder,partitionLevelDeletion
,partitionLevelDeletion
holder,columns
holder,stats
searchIterator,getRow
,getRow
selection,getRow
columns,getRow
isEmpty,getRow
getPartitionDeletion,staticRow
fetchedColumns,staticRow
,staticRow
isEmpty,staticRow
isLive,staticRow
filter,staticRow
holder,searchIterator
desc,searchIterator
getPartitionDeletion,searchIterator
hasNext,searchIterator
staticRow,searchIterator
next,searchIterator
rangeCovering,searchIterator
deletionTime,searchIterator
,searchIterator
deletionTime,searchIterator
isLive,searchIterator
emptyDeletedRow,searchIterator
regular,searchIterator
filter,searchIterator
hasNext,hasNext
staticRow,next
next,next
rangeCovering,next
deletionTime,next
,next
deletionTime,next
isLive,next
emptyDeletedRow,next
regular,next
filter,next
unfilteredIterator,unfilteredIterator
all,unfilteredIterator
metadata,unfilteredIterator
unfilteredIterator,unfilteredIterator
holder,unfilteredIterator
staticRow,unfilteredIterator
size,unfilteredIterator
getPartitionDeletion,unfilteredIterator
noRowsIterator,unfilteredIterator
size,unfilteredIterator
sliceIterator,unfilteredIterator
get,unfilteredIterator
start,sliceIterator
start,sliceIterator
end,sliceIterator
end,sliceIterator
slice,sliceIterator
desc,sliceIterator
rangeIterator,sliceIterator
merge,sliceIterator
getPartitionDeletion,merge
canHaveShadowedData,merge
size,computeNext
endOfData,computeNext
size,computeNext
sliceIterator,computeNext
get,computeNext
hasNext,computeNext
next,computeNext
unfilteredIterator,computeNext
hasNext,computeNext
endOfData,computeNext
next,computeNext
sliceIterator,slice
None,sliceableUnfilteredIterator
sliceableUnfilteredIterator,sliceableUnfilteredIterator
all,sliceableUnfilteredIterator
metadata,build
columns,build
isReverseOrder,build
builder,build
auto,build
builder,build
partitionLevelDeletion,build
hasNext,build
next,build
kind,build
add,build
add,build
reverse,build
build,build
build,build
staticRow,build
stats,build
metadata,build
columns,build
isReverseOrder,build
builder,build
auto,build
hasNext,build
next,build
add,build
reverse,build
staticRow,build
build,build
collect,build
iterator,build
append,toString
format,toString
getKeyValidator,toString
,toString
partitionKey,toString
,toString
columns,toString
staticRow,toString
append,toString
,toString
staticRow,toString
,toString
append,toString
,toString
toString,toString
toString,toString
size,rowCount
holder,rowCount
<,iterator
holder,iterator
holder,lastRow
isEmpty,lastRow
findByIndex,lastRow
size,lastRow
None,kind
None,clustering
None,size
None,get
None,getRawValues
size,dataSize
get,dataSize
remaining,dataSize
size,digest
get,digest
update,digest
duplicate,digest
updateWithByte,digest
kind,digest
,digest
sizeOnHeapOf,unsharedHeapSize
sizeOnHeapExcludingData,unsharedHeapSizeExcludingData
size,hashCode
hashCode,hashCode
get,hashCode
hashCode,hashCode
kind,hashCode
,equals
kind,equals
,equals
size,equals
size,equals
equals,equals
,equals
get,equals
format,start
currentTimeMillis,start
sync,start
signalAll,start
currentTimeMillis,start
log,start
format,start
format,start
tryAcquire,start
drainPermits,start
handleCommitError,start
tryAcquire,start
start,start
currentTimeMillis,run
sync,run
signalAll,run
currentTimeMillis,run
log,run
format,run
format,run
tryAcquire,run
drainPermits,run
handleCommitError,run
tryAcquire,run
maybeWaitForSync,finishWriteFor
incrementAndGet,finishWriteFor
None,maybeWaitForSync
register,requestExtraSync
release,requestExtraSync
release,shutdown
availablePermits,restartUnsafe
release,restartUnsafe
availablePermits,restartUnsafe
acquire,restartUnsafe
start,restartUnsafe
join,awaitTermination
get,getCompletedTasks
get,getPendingTasks
None,getDirectories
None,pause
None,resume
None,startup
None,shutdown
None,getNextBackgroundTask
None,getMaximalTask
None,getUserDefinedTask
None,getCompactionTask
None,getEstimatedRemainingTasks
None,getMaxSSTableBytes
None,enable
None,disable
None,isAffectedByMeteredFlusher
None,getMemtableReservedSize
getTracker,replaceFlushed
,replaceFlushed
isEmpty,replaceFlushed
submitBackground,replaceFlushed
filter,filterSuspectSSTables
isMarkedSuspect,filterSuspectSSTables
isMarkedSuspect,apply
getRateLimiter,getScanners
add,getScanners
getScanner,getScanners
,getScanners
addSuppressed,getScanners
None,shouldDefragment
getClass,getName
,getName
removeSSTable,replaceSSTables
addSSTable,replaceSSTables
None,addSSTable
None,removeSSTable
close,close
inspectThrowable,close
addSuppressed,close
propagate,close
getScanners,getScanners
currentTimeMillis,worthDroppingTombstones
getCreationTimeFor,worthDroppingTombstones
getEstimatedDroppableTombstoneRatio,worthDroppingTombstones
getOverlappingSSTables,worthDroppingTombstones
singleton,worthDroppingTombstones
isEmpty,worthDroppingTombstones
getFullyExpiredSSTables,worthDroppingTombstones
,worthDroppingTombstones
singleton,worthDroppingTombstones
getIndexSummarySize,worthDroppingTombstones
estimatedKeys,worthDroppingTombstones
size,worthDroppingTombstones
add,worthDroppingTombstones
getToken,worthDroppingTombstones
getToken,worthDroppingTombstones
estimatedKeysForRanges,worthDroppingTombstones
getEstimatedColumnCount,worthDroppingTombstones
,worthDroppingTombstones
getEstimatedColumnCount,worthDroppingTombstones
,worthDroppingTombstones
getEstimatedColumnCount,worthDroppingTombstones
,worthDroppingTombstones
get,validateOptions
parseFloat,validateOptions
format,validateOptions
format,validateOptions
get,validateOptions
parseLong,validateOptions
format,validateOptions
format,validateOptions
get,validateOptions
equalsIgnoreCase,validateOptions
equalsIgnoreCase,validateOptions
format,validateOptions
get,validateOptions
equalsIgnoreCase,validateOptions
equalsIgnoreCase,validateOptions
format,validateOptions
remove,validateOptions
remove,validateOptions
remove,validateOptions
remove,validateOptions
remove,validateOptions
get,shouldBeEnabled
parseBoolean,shouldBeEnabled
sort,groupSSTablesForAntiCompaction
add,groupSSTablesForAntiCompaction
size,groupSSTablesForAntiCompaction
add,groupSSTablesForAntiCompaction
size,groupSSTablesForAntiCompaction
add,groupSSTablesForAntiCompaction
create,createSSTableMultiWriter
None,compareEndpoints
sortByProximity,getSortedListByProximity
sort,sortByProximity
compareEndpoints,sortByProximity
compareEndpoints,compare
None,gossiperStarting
hasRemoteNode,isWorthMergingForRangeQuery
hasRemoteNode,isWorthMergingForRangeQuery
hasRemoteNode,isWorthMergingForRangeQuery
getLocalDataCenter,hasRemoteNode
equals,hasRemoteNode
getDatacenter,hasRemoteNode
isAggregate,newFactory
doesAggregation,newFactory
columnName,newFactory
getColumnNames,newFactory
returnType,newFactory
newMapping,newFactory
addColumnMapping,newFactory
getMappings,newFactory
,newFactory
,newFactory
addMapping,newFactory
addMapping,newFactory
getMappings,newFactory
,newFactory
concat,newFactory
getFunctions,newFactory
getFunctions,newFactory
isAggregate,newFactory
newInstances,newFactory
newInstances,newFactory
containsWritetimeSelectorFactory,newFactory
containsTTLSelectorFactory,newFactory
isAggregate,newFactory
doesAggregation,newFactory
columnName,getColumnName
getColumnNames,getColumnName
returnType,getReturnType
newMapping,addColumnMapping
addColumnMapping,addColumnMapping
getMappings,addColumnMapping
,addColumnMapping
,addColumnMapping
addMapping,addColumnMapping
addMapping,addColumnMapping
getMappings,addColumnMapping
,addColumnMapping
concat,getFunctions
getFunctions,getFunctions
getFunctions,getFunctions
isAggregate,newInstance
newInstances,newInstance
newInstances,newInstance
containsWritetimeSelectorFactory,isWritetimeSelectorFactory
containsTTLSelectorFactory,isTTLSelectorFactory
isAggregate,isAggregateSelectorFactory
doesAggregation,isAggregateSelectorFactory
returnType,getType
,toString
name,toString
,toString
,toString
,toString
,toString
None,getRack
None,getDatacenter
equals,compareEndpoints
equals,compareEndpoints
equals,compareEndpoints
equals,compareEndpoints
getDatacenter,compareEndpoints
getDatacenter,compareEndpoints
getDatacenter,compareEndpoints
equals,compareEndpoints
equals,compareEndpoints
equals,compareEndpoints
equals,compareEndpoints
getRack,compareEndpoints
getRack,compareEndpoints
getRack,compareEndpoints
equals,compareEndpoints
equals,compareEndpoints
equals,compareEndpoints
equals,compareEndpoints
values,bounds
getColumnDefs,isEmpty
,isEmpty
getColumnDefs,size
,size
None,withNowInSeconds
create,fromIncl
create,fromExcl
create,toIncl
create,toExcl
,includeRow
make,includeRow
None,reverse
None,withLimit
None,withPagingLimit
,columns
